File,Key,English,Danish,German,Spanish,Italian,Portuguese
player/campaign/NativeIsland4,game_over,All prisoners were killed. Game over.,Alle fanger blev dræbt. Spillet er slut.,Alle Häftlinge wurden getötet. Game over.,Todos los prisioneros fueron asesinados. Fin de la partida.,Tutti i prigionieri sono stati uccisi. Game over.,Todos os prisioneiros foram mortos. Fim de jogo.
player/campaign/NativeIsland4,name0,,,,,,
player/campaign/NativeIsland4,name1,Captives,Fanger,Gefangene,Prisioneros,Prigionieri,Cativos
player/campaign/NativeIsland4,name2,Vikings,Vikinger,Wikinger,Vikingos,Vichinghi,Vikings
player/campaign/NativeIsland4,name3,,,,,,
player/campaign/NativeIsland4,name4,,,,,,
player/campaign/NativeIsland4,name5,,,,,,
player/campaign/NativeIsland4,objective,Protect the captives for {0} minutes.,Beskyt fangerne i {0} minutter.,Beschützen Sie die Gefangenen {0} Minuten lang.,Protege a los prisioneros durante {0} minutos.,Proteggi i prigionieri per {0} minuti.,Proteja os cativos por {0} minutos.
player/campaign/NativeIsland5,header,Hvermörkey,Hvermörkey,Hvermörkey,Hvermörkey,Hvermörkey,Hvermörkey
player/campaign/NativeIsland5,description,"This is Fjorleif''s own island, where he is probaly hiding now.","Dette er Fjorleifs egen ø, hvor han sandsynligvis gemmer sig nu.",Das ist Fjorleifs Privatinsel. Wahrscheinlich hält er sich hier gerade versteckt.,"Esta es la isla del propio Fjorleif, donde probablemente esté escondiendo.","Questa è l''isola di Fjorleif, probabilmente si sta nascondendo qui.","Essa é a própria ilha de Fjorleif, onde ele provavelmente está se escondendo agora."
player/campaign/NativeIsland5,header0,Chief Ngumba,Høvding Ngumba,Häuptling Ngumba,Jefe Ngumba,Capo Ngumba,Chefe Ngumba
player/campaign/NativeIsland5,dialog0,"What, no statues here either?!? Let''s eradicate those Vikings and find out what happened to our statues.","Hvad, heller ingen statuer her?!? Lad os udrydde de vikinger og finde ud af, hvad der er sket med vores statuer.","Was, hier sind auch keine Statuen?!? Diese Wikinger machen wir platt, und dann finden wir heraus, was mit unseren Statuen geschehen ist.",¿Qué? ¿Aquí tampoco están las estatuas? Vamos a erradicar a esos Vikingos y a averiguar qué ha pasado con nuestras estatuas..,"Cosa, nessuna statua neanche qui?!? Annientate quei Vichinghi e scoprite cos''è successo alle nostre statue.","O quê, sem estátuas aqui também?!? Vamos erradicar aqueles Vikings e descobrir o que aconteceu com nossas estátuas."
player/campaign/NativeIsland5,header1,Grimhildur Guzzlegut,Grimhildur Gunnarsen,Grimhildur Grützenfresser,Trimhildur Tragacañas,Grimhildur il Codardo,Grimhildur Glutão
player/campaign/NativeIsland5,dialog1,"Please don''t hurt me, I will tell you what I know! Fjorleif was here yesterday to brag about his loot, but then he left again for some secret island. I don''t know where it is, but he set his course westwards.","Neeej, vis nåde, jeg skal nok fortælle jer, hvad jeg ved! Fjorleif var her i går for at blære sig med sit rov, men han tog afsted mod en eller anden hemmelig ø. Jeg ved ikke, hvor den er, men han sejlede mod vest.","Bitte, tut mir nichts, ich sage euch alles, was ich weiß! Fjorleif war gestern hier und hat mächtig mit seiner Beute angegeben, aber dann hat er sich wieder auf irgendeine geheime Insel verzogen. Ich weiß nicht, wo sie ist, aber er ist westwärts gesegelt.","¡Por favor, no me hagáis daño, os diré todo lo que sé! Fjorleif estuvo aquí ayer para jactarse de su botín, pero después volvió a partir hacia una isla secreta. No sé donde está, pero se fue hacia el oeste.","Per favore non fatemi del male, vi dirò quello che so! Fjorleif è stato qui ieri per vantarsi del suo bottino, ma poi è salpato verso un''isola segreta. Non so dove sia, ma è andato verso ovest.","Por favor, não me machuque, Eu vou te falar o que eu sei! Fjorleif esteve aqui ontem para exibir seu saque, mas então ele partiu de novo para alguma ilha secreta. Eu não sei onde ela fica, mas ele foi em direção ao oeste."
player/campaign/NativeIsland5,name0,,,,,,
player/campaign/NativeIsland5,name1,,,,,,
player/campaign/NativeIsland5,name2,Vikings,Vikinger,Wikinger,Vikingos,Vichinghi,Vikings
player/campaign/NativeIsland5,name3,,,,,,
player/campaign/NativeIsland5,name4,,,,,,
player/campaign/NativeIsland5,name5,,,,,,
player/campaign/NativeIsland5,objective,Destroy the Vikings.,Udslet vikingerne.,Vernichten Sie die Wikinger.,Destruye a los Vikingos.,Annienta i Vichinghi.,Destrua os Vikings.
player/campaign/NativeIsland6,header,Varðaskógur,Varðaskógur,Varðaskógur,Varðaskógur,Varðaskógur,Varðaskógur
player/campaign/NativeIsland6,description,"Maybe this is the secret island Grimhildur Guzzlegut talked about, when he said Fjorleif sailed westwards with the statues.","Måske er det her den hemmelige ø Grimhildur Gunnarsen talte om, da han sagde, at Fjorleif sejlede mod vest med statuerne.","Vielleicht ist das die geheime Insel, über die Grimhildur Grützenfresser gesprochen hat, als er sagte, dass Fjorleif mit den Statuen westwärts gesegelt ist.","Quizás esta es la isla secreta de la que hablaba Trimhildur Tragacañas, cuando nos dijo que Fjorleif partió hacia el oeste con las estatuas.","Questa dev''essere l''isola segreta di cui parlava Grimhildur il Codardo, quando diceva che Fjorleif era salpato verso ovest con le statue.",Talvez essa seja a ilha secreta que Grimhildur Glutão falou sobre quando ele disse que Fjorleif velejou para o oeste com as estátuas.
player/campaign/NativeIsland6,header0,Chief Ngumba,Høvding Ngumba,Häuptling Ngumba,Jefe Ngumba,Capo Ngumba,Chefe Ngumba
player/campaign/NativeIsland6,dialog0,"Death & Diarrhoea, no statues here either! At least it seems like some of our own countrymen have set up a camp a bit further up the coast.","Død og diarré, heller ingen statuer her! I det mindste ser det da ud som om nogle af vores landsmænd har bygget en lejr et stykke oppe af kysten.",Dünnschiss und Darmamöben! Hier sind auch keine Statuen! Wenigstens haben offenbar einige unserer Landsleute ein Stückchen weiter ihr Lager aufgeschlagen.,"¡Muerte y Diarrea, aquí tampoco hay estatuas!... Al menos parece que algunos de nuestros paisanos han montado un campamento un poco más arriba en la costa.","Morte e diarrea, non ci sono statue neanche qui! Comunque sembra che alcuni dei nostri abbiano costruito un villaggio più avanti, lungo la costa.","Morte e Diarreia, sem estátuas aqui também! Pelo menos parece que alguns de nossos compatriotas montaram um acampamento um pouco acima da costa."
player/campaign/NativeIsland6,header1,Chief Gotoba,Høvding Gotoba,Häuptling Gotoba,Jefe Gotoba,Capo Gotoba,Chefe Gotoba
player/campaign/NativeIsland6,dialog1,"Hail thee, Chief Ngumba! We are a group of former thralls who have escaped. Thanks to the sheer size of this island we managed to hide from the Vikings. We are setting up a camp here so we can build a ship and sail home.","Vær hilset, Høvding Ngumba! Vi er en gruppe af tidligere trælle, der er flygtet. Takket være den enorme størrelse af denne ø har det lykkedes os at holdes os skjult for vikingerne. Vi er ved at etablere en lejr, så vi kan bygge et skib og sejle hjem.","Seid gepriesen, Häuptling Ngumba! Wir sind eine Gruppe ehemaliger Leibeigener, die in die Freiheit entkommen sind. Dank der Größe der Insel konnten wir uns bisher vor den Wikingern verstecken. Wir schlagen hier unser Lager auf, damit wir ein Schiff bauen und nach Hause segeln können!","¡A los buenos días, Jefe Ngumba! Somos un grupo de los rehenes que consiguieron escapar. Gracias al imponente tamaño de esta isla hemos conseguido escondernos de los Vikingos. Hemos montado este campamento aquí, así podremos construir un barco y volver a casa.","Salute, Capo Ngumba! Siamo un gruppo di schiavi fuggitivi. Grazie alle grandi dimensioni di quest''isola siamo riusciti a nasconderci dai Vichinghi. Abbiamo allestito questo accampamento per poter costruire una nave e tornare a casa.","Salve, Chefe Ngumba! Nós somos um grupo de antigos reféns que consiguiram escapar. Graças ao tamanho impressionante dessa ilha nós conseguimos nos esconder dos Vikings. Nós estamos montando um acampamento aqui para que possamos construir um navio e velejar pra casa."
player/campaign/NativeIsland6,header2,Chief Ngumba,Høvding Ngumba,Häuptling Ngumba,Jefe Ngumba,Capo Ngumba,Chefe Ngumba
player/campaign/NativeIsland6,dialog2,"How about we team up and drive the Vikings off this island then? With no Vikings to interfere, I''m sure your boat-building business would be a lot easier.",Hvad med at vi samarbejder om at drive vikingerne bort fra øen? Uden vikinger til at blande sig er jeg sikker på jeres bådprojekt vil være langt nemmere.,"Wie wäre es denn, wenn wir uns zusammentun und die Wikinger von dieser Insel vertreiben? Ich könnte mir vorstellen, dass euer Schiffsbau um einiges schneller vorankäme, wenn euch die Wikinger nicht immer ablenken würden.","¿Qué tal si nos agrupamos y echamos a los vikingos de esta isla? Sin vikingos que interfieran, estoy seguro que construir un barco será mucho más fácil.","Allora perchè non uniamo le nostre forze e cacciamo i Vichinghi da quest''isola ? Senza questi Vichinghi, potrete costruire la vostra nave senza sgradite interferenze.","Que tal nós nos aliarmos e expulsarmos os Vikings pra fora dessa ilha então? Sem vikings para interfirir, eu tenho certeza que a sua construção do navio seria muito mais fácil."
player/campaign/NativeIsland6,header3,Chief Gotoba,Høvding Gotoba,Häuptling Gotoba,Jefe Gotoba,Capo Gotoba,Chefe Gotoba
player/campaign/NativeIsland6,dialog3,Sounds like a plan... time for some Viking-bashing!,Lyder som en god plan... tid til vikingejagt!,Klingt gut ... Auf zum Wikingerknüppeln!,Eso suena como un plan... ¡Hora de apalear Vikingos!,Mmm ottimo piano Capo... è ora di fare un po'' di caccia al Vichingo!,Soa como um plano... hora de bater em Vikings!
player/campaign/NativeIsland6,header4,Ngolongo Nimblefeet,Lgonongo Letpåtå,Ngolongo Noppenfuß,Pognongo Piesbailongos,Ngolongo Pieveloce,Ngolongo Pés-ágeis
player/campaign/NativeIsland6,dialog4,"Hey chief, we found an interesting map in the ruins. It shows an island we didn''t know about, so I have drawn it on our map now. Maybe that''s where Fjorleif is hiding?","Hej høvding, vi fandt et interessant kort i ruinerne. Det viser en ø, vi ikke kendte til, så jeg har tegnet den ind på vores kort. Måske er det der, Fjorleif gemmer sig?","Hey, Chef, wir haben eine interessante Karte in den Ruinen gefunden. Sie zeigt eine Insel, von der wir bisher nichts wussten. Ich habe sie mal in unserer Karte eingezeichnet. Vielleicht hat sich Fjorleif ja hier verkrochen?","Eh Jefe, hemos encontrado un mapa muy interesante en las ruinas. Muestra una isla de la que no sabíamos nada, así que la he añadido a nuestro mapa. ¿Quizás sea allí donde se esconde Fjorleif?","Hei capo, abbiamo trovato una mappa interessante nelle rovine. Sembra che ci sia un''isola nascosta nei paraggi, così l''ho riportata sulla tua mappa. Forse è il nascondiglio di Fjorleif!","Ei chefe, nós encontramos um mapa interessante nas ruínas. Ele mostra uma ilha que nós não conhecíamos, então eu desenhei ela em nosso mapa agora. Talvez seja lá onde Fjorleif está se escondendo?"
player/campaign/NativeIsland6,game_over,All allies were killed. Game over.,Alle allierede blev dræbt. Spillet er slut.,Alle Verbündeten wurden getötet. Game over.,Todos los aliados fueron asesinados. Fin de la partida.,Tutti gli alleati sono morti. Game over.,Todos os aliados foram mortos. Fim de jogo.
player/campaign/NativeIsland6,name0,,,,,,
player/campaign/NativeIsland6,name1,Allies,Allierede,Verbündete,Aliados,Alleati,Aliados
player/campaign/NativeIsland6,name2,Vikings,Vikinger,Wikinger,Vikingos,Vichinghi,Vikings
player/campaign/NativeIsland6,name3,Vikings,Vikinger,Wikinger,Vikingos,Vichinghi,Vikings
player/campaign/NativeIsland6,name4,,,,,,
player/campaign/NativeIsland6,name5,,,,,,
player/campaign/NativeIsland6,objective,"Destroy the Vikings.
Protect your allies.","Udslet vikingerne.
Beskyt dine allierede.","Vernichten Sie die Wikinger.
Beschützen Sie Ihre Verbündeten.","Destruye a los Vikingos.
Protege a tus aliados.","Annienta i Vichinghi.
Proteggi i tuoi alleati.","Destrua os Vikings.
Proteja seus Aliados."
player/campaign/NativeIsland7,header,Reykuröræfi,Reykuröræfi,Reykuröræfi,Reykuröræfi,Reykuröræfi,Reykuröræfi
player/campaign/NativeIsland7,description,This has to be Fjorleif''s secret hideout. No doubt he has hidden the statues here.,Det her må bare være Fjorleifs hemmelige gemmested. Ingen tvivl om at statuerne er gemt her.,Das muss Fjorleifs geheimes Versteck sein. Zweifellos hat er die Statuen hier versteckt.,Este tiene que ser el escondite secreto de Fjorleif. No hay ninguna duda de que ha escondido las estatuas aquí.,Questo dev''essere il nascondiglio di Fjorleif. Senza dubbio ha nascosto le statue qui.,Esse tem que ser o esconderijo secreto de Fjorleif. Sem dúvida alguma ele escondeu as estátuas aqui.
player/campaign/NativeIsland7,header0,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
player/campaign/NativeIsland7,dialog0,Well well... look who we have here. If it isn''t the famed Chief Ngumba! You must really care about those ugly statues since you went all the way up here for them.,"Jamen dog... se hvem vi har her. Er det ikke den berygtede Høvding Ngumba! Du må virkelig være glad for de grimme statuer, siden du gider rejse helt herop efter dem.","So, so ... wen haben wir denn da? Wenn das nicht der ehrenwerte Häuptling Ngumba ist! Diese hässlichen Statuen müssen euch ja schon sehr am Herzen liegen, wenn ihr dafür den langen Weg in den hohen Norden auf euch genommen habt.",Bueno bueno... mira quien tenemos aquí. !Si es el famoso Jefe Ngumba! Realmente te importan esas horribles estatuas si has venido hasta aquí por ellas.,Bene bene... guarda chi si vede. Il famoso Capo Ngumba! Devi avere molto a cuore le tue statue per venire fino a qui per riprenderle.,Hora hora... olhe quem nós temos aqui. Se não é o famoso Chefe Ngumba! Você deve realmente se importar com essas estátuas feias já que você veio até aqui por elas.
player/campaign/NativeIsland7,header1,Chief Ngumba,Høvding Ngumba,Häuptling Ngumba,Jefe Ngumba,Capo Ngumba,Chefe Ngumba
player/campaign/NativeIsland7,dialog1,"More than you think, Fjorleif... I think it''s time we teach you a lesson about not stealing other people''s golden statues!","Mere end du tror, Fjorleif... Jeg tror det er på tide, at vi giver dig en lærestreg om ikke at stjæle andre folks guldstatuer!","Mehr als du glaubst, Fjorleif ... Ich glaube, es ist an der Zeit, dass du lernst, was passieren kann, wenn man anderer Leute Goldstatuen klaut!","Más de lo que piensas, Fjorleif... ¡Creo que es hora de enseñarte una lección sobre no robar estatuas de oro ajenas!","Più di quello che pensi, Fjorleif... Credo sia giunto il momento di insegnarti che non è molto carino rubare le statue d''oro altrui!","Mais do que você pensa, Fjorleif... Eu acho que é hora de ensinarmos a você uma lição sobre não roubar as estátuas douradas de outras pessoas!"
player/campaign/NativeIsland7,name0,,,,,,
player/campaign/NativeIsland7,name1,,,,,,
player/campaign/NativeIsland7,name2,Vikings,Vikinger,Wikinger,Vikingos,Vichinghi,Vikings
player/campaign/NativeIsland7,name3,,,,,,
player/campaign/NativeIsland7,name4,,,,,,
player/campaign/NativeIsland7,name5,,,,,,
player/campaign/NativeIsland7,statue,Golden statue,Guldstatue,Goldstatue,Estatua de oro,Statue d''oro,Estátua dourada
player/campaign/NativeIsland7,objective,Destroy Fjorleif''s tribe and reclaim the statues.,Udslet Fjorleifs stamme og stjæl statuerne tilbage.,"Vernichten Sie Fjorleifs Stamm, und nehmen Sie die Statuen wieder in Besitz.",Destruir la tribu de Fjorleif y recuperar las estatuas.,Annienta la tribù di Fjorleif e recupera le statue.,Destrua a tribo de Fjorleif e recupere as estátuas.
player/campaign/VikingCampaign,limited,This island is not available in this demo version of Tribal Trouble.,Kun den første ø er tilgængelig i denne demonstrationsudgave af Tribal Trouble.,In der Demoversion von Tribal Trouble steht nur die erste Insel zur Verfügung.,Sólo la primera isla está disponible en esta versión de demostración de Tribal Trouble.,Quest''isola non è disponibile nella versione demo di Tribal Trouble.,Essa ilha não está disponível nessa versão de demonstração de Tribal Trouble.
player/campaign/VikingIsland0,header0,Petur the Peon,Bjarke Bonderøv,Knut der Knecht,Petur el Peón,Petur il Peone,Petur o peão
player/campaign/VikingIsland0,dialog0,"Oh my, what a disaster! Not only did we drink too much again, we were also hit by a raging thunderstorm that lasted for days. One can only wonder where we have ended up. Half of the crew is missing and Chief Fjorleif fell over board somewhere near this island. I think he is being held captive by the natives... we have to free him!","Åh nej, hvilken katastrofe! Ikke nok med at vi drak for meget igen. Vi blev også ramt af en voldsom tordenstorm, der varede i dagevis. Vi kan kun gætte på, hvor vi er endt henne. Halvdelen af mandskabet er væk, og Høvding Fjorleif faldt over bord et eller andet sted i nærheden af denne ø. Jeg tror, han bliver holdt fanget af de indfødte... vi bliver nødt til at befri ham!","Was für ein Chaos! Nicht nur, dass wir wieder mal zu viel gebechert haben, nein, wir sind auch noch in ein schreckliches Unwetter geraten, das mehrere Tage gedauert hat. Wir können nur raten, wo wir eigentlich gelandet sind. Die Hälfte der Crew fehlt, und Häuptling Fjorleif ist irgendwo in der Nähe dieser Insel über Bord gegangen. Ich denke, er wird von den Eingeborenen gefangen gehalten ... wir müssen ihn befreien!","¡Ay madre, qué desastre! No sólo volvimos a beber demasiado, sino que una descomunal tormenta nos ha golpeado durante días. Uno sólo puede intentar adivinar donde acabaremos. La mitad de la tripulación ha desaparecido y el Jefe Fjorleif desembarcó cerca de esta isla. Creo que ha sido capturado por los indígenas... ¡tenemos que liberarlo!","Oh dio, che disastro! Non solo abbiamo bevuto troppo un''altra volta ma siamo pure stati investiti da una tempesta. Uno può solo ringraziare di aver salva la pelle. Metà della ciurma è sparita e il Capo Fjorleif è stato sbalzato fuori dalla nave da qualche parte in quest''isola. Penso sia stato catturato dai nativi... dobbiamo liberarlo!","Ah minha nossa, que desastre! Não apenas bebemos muito de novo, como também fomos atingidos por uma tempestade furiosa que durou por dias. Só resta imaginar onde acabamos. Metade da tripulação está desaparecida e o Chefe Fjorleif desembarcou perto desta ilha. Eu acho que ele está sendo mantido cativo pelos indígenas... temos que libertá-lo!"
player/campaign/VikingIsland0,header1,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
player/campaign/VikingIsland0,dialog1,"Good work, men! While I was held captive by the natives, I managed to copy one of their maps. I think they''ve got some treasure hidden on the larger islands. We lost all our loot in the storm and I dare not imagine what our wives would do to us if we return empty-handed from this trip, so let''s get to work!","Godt arbejde! Mens jeg blev holdt fanget af de indfødte, lykkedes det mig at kopiere et af deres kort. Jeg tror, de har nogle skatte gemt på de større øer. Vi mistede vores rov under stormen, og jeg tør ikke engang forestille mig, hvad vores koner gør ved os, hvis vi kommer tomhændet hjem fra denne rejse. Lad os komme igang!","Gute Arbeit, Männer! Während ich von diesen Wilden gefangen gehalten wurde, konnte ich einige ihrer Karten abzeichnen. Ich glaube, irgendwo auf einer dieser größeren Inseln haben die einen Schatz versteckt. Wir haben unsere gesamte Beute im Sturm verloren, und ich mag gar nicht daran denken, was unsere Frauen uns antun würden, wenn wir mit leeren Händen von dieser Reise zurückkämen. Machen wir uns also an die Arbeit!","¡Buen trabajo, chicos! Mientras estaba capturado por los indígenas, conseguí copiar uno de sus mapas. Creo que tienen algún botín escondido en las islas más grandes. Perdimos todo nuestro botín durante la tormenta, y no quiero ni imaginarme lo que nos harán nuestras parientas si volvemos a casa con las manos vacías de este viaje. ¡Así que a trabajar!","Ottimo lavoro, uomini! Mentre ero prigioniero dei nativi, ho copiato una delle loro mappe. Penso che abbiano dei tesori nascosti nell''isola più grande. Abbiamo perso tutto il nostro bottino nella tempesta e non voglio nemmeno immaginare cosa ci faranno le nostre mogli se torniamo a mani vuote, quindi al lavoro!","Bom trabalho, homens! Enquanto estive sendo mantido cativo pelos indígenas, Eu consegui copiar um de seus mapas. Eu acho que eles possuem algum tesouro escondido nas ilhas maiores. Nós perdemos todo nosso saque na tempestade e eu não quero nem imaginar o que nossas esposas iriam fazer se voltássemos de mãos vazias dessa viagem, então vamos ao trabalho!"
player/campaign/VikingIsland0,game_over,Chief Fjorleif was killed. Game over.,Høvding Fjorleif blev dræbt. Spillet er slut.,Häuptling Fjorleif wurde getötet. Game over.,El Jefe Fjorleif ha sido asesinado. Fin de la partida.,Capo Fjorleif è stato ucciso. Game over.,Chefe Fjorleif foi morto. Fim de jogo.
player/campaign/VikingIsland0,name0,,,,,,
player/campaign/VikingIsland0,name1,Fjorleif,Fjorleif,Fjorleif,Fjorleif,Fjorleif,Fjorleif
player/campaign/VikingIsland0,name2,Natives,Indfødte,Eingeborene,Indígenas,Nativi,Indígenas
player/campaign/VikingIsland0,name3,,,,,,
player/campaign/VikingIsland0,name4,,,,,,
player/campaign/VikingIsland0,name5,,,,,,
player/campaign/VikingIsland0,objective,"Destroy the natives.
Rescue the chieftain.","Udslet de indfødte.
Befri høvdingen.","Vernichten Sie die Eingeborenen.
Befreien Sie den Häuptling.","Destruye a los indígenas.
Rescata al jefe tribal.","Annienta i nativi.
Libera il capo.","Destrua os indígenas.
Resgate o chefe."
player/campaign/VikingIsland1,header,Mobubu,Mobubu,Mobubu,Mobubu,Mobubu,Mobubu
player/campaign/VikingIsland1,description,"Some of our men were washed over board near this island... if there are any survivors, we must pick them up.","Nogle af vores mænd blev skyllet over bord nær denne ø... hvis der er nogen overlevende, må vi samle dem op.","Einige unserer Männer sind nahe dieser Insel über Bord gegangen ... falls es Überlebende gibt, müssen wir sie finden.","Algunos de nuestros hombres fueron lanzados por la borda cerca de esta isla. Sí hay algún superviviente, debemos encontrarlo.","Alcuni dei nostri uomini sono caduti in mare vicino a quest''isola... se qualcuno è sopravvissuto, dobbiamo trovarlo.","Alguns de nossos homens foram jogados ao mar e terminaram perto desta ilha... se existe algum sobrevivente, nós precisamos resgatá-lo."
player/campaign/VikingIsland1,header0,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
player/campaign/VikingIsland1,dialog0,"Some of our men were washed over board near this island, and I think they must have been captured by the natives. Let''s go free them!","Nogle af vores mænd blev skyllet over bord nær denne ø, og jeg tror de er blevet taget til fange af de indfødte. Lad os befri dem!","Einige unserer Männer sind nahe dieser Insel über Bord gegangen und wurden bestimmt von den Eingeborenen gefangen genommen. Los, befreien wir sie!","Algunos de nuestros hombres fueron lanzados por la borda cerca de aquí, y creo que pueden haber sido capturados por los indígenas. ¡Vamos a liberarlos!",Alcuni dei nostri uomini sono caduti in mare vicino a quest''isola e penso siano stati catturati dai nativi. Andiamo a liberarli!,"Alguns de nossos homens foram jogados ao mar perto desta ilha, e eu acho que eles devem ter sido capturados pelos indígenas. Vamos libertá-los!"
player/campaign/VikingIsland1,header1,Thorfinn Toothpick,Thorfinn Tandstik,Thorfinn Teleskop,Phorfinn Pilladiente,Thorfinn Stecchino,Thorfinn Palito de Dente
player/campaign/VikingIsland1,dialog1,"Phew, thanks for freeing us! Let''s go loot something!","Pyha, tak fordi i befriede os! Lad os tage ud og plyndre et eller andet!","Uff, danke für die Rettungsaktion! Los, sehen wir, was es zu plündern gibt!","¡Fíuuu, gracias por liberarnos!... ¡Vamos a saquear algo!","Phew, grazie per averci liberato! Ed ora andiamo a saccheggiare!","Ufa, obrigado por nos libertar! Vamos saquear alguma coisa!"
player/campaign/VikingIsland1,game_over,All prisoners were killed. Game over.,Alle fanger blev dræbt. Spillet er slut.,Alle Häftlinge wurden getötet. Game over.,Todos los prisioneros fueron asesinados. Fin de la partida.,Tutti i prigionieri sono stati uccisi. Game over.,Todos os prisioneiros foram mortos. Fim de jogo.
player/campaign/VikingIsland1,name0,,,,,,
player/campaign/VikingIsland1,name1,Captives,Fanger,Gefangene,Prisioneros,Prigionieri,Cativos
player/campaign/VikingIsland1,name2,Natives,Indfødte,Eingeborene,Indígenas,Nativi,Indígenas
player/campaign/VikingIsland1,name3,,,,,,
player/campaign/VikingIsland1,name4,,,,,,
player/campaign/VikingIsland1,name5,,,,,,
player/campaign/VikingIsland1,objective,"Destroy the natives.
Rescue as many captives as possible.","Udslet de indfødte.
Befri så mange fanger som muligt.","Vernichten Sie die Eingeborenen.
Befreien Sie so viele Gefangene wie möglich.","Destruye a los indígenas.
Rescata tantos prisioneros como puedas.","Annienta i Nativi.
Libera più prigionieri possibile.","Destrua os indígenas.
Resgate quantos cativos puder."
player/campaign/VikingIsland10,header,Kogafutshlum,Kogafutshlum,Kogafutshlum,Kogafutshlum,Kogafutshlum,Kogafutshlum
player/campaign/VikingIsland10,description,"The hidden island where the great thunder god Xarrr resides on the mountain top. If we make it to the top, we may be granted a wish.","Den skjulte ø hvor den store tordengud Xarrr bor på toppen af bjerget. Hvis vi når op på toppen, får vi måske opfyldt et ønske.","Die verborgene Insel, auf deren höchstem Berg der große Donnergott Xarrr lebt. Wenn wir es bis zum Gipfel schaffen, gewährt er uns vielleicht einen Wunsch.","La isla oculta donde el Gran dios del trueno Xarrr descansa en la cima de su montaña. Si llegamos a la cima, podemos ser bendecidos con un deseo.",L''isola segreta sulla cima della cui montagna vive il grande Xarr. Se riusciamo a raggiungere la cima esaudirà un nostro desiderio.,"A ilha escondida onde o grande deus do trovão Xarrr reside no topo da montanha. Se alcançarmos o topo, talvez nós seremos concedidos um desejo."
player/campaign/VikingIsland10,header0,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
player/campaign/VikingIsland10,dialog0,"This has to be the mountain Chief Mozumba mentioned. We must reach the top of it, but I''m not sure those natives will let us pass without a fight. Perhaps we can find another way around?","Det må være det her bjerg, Høvding Mozumba snakkede om. Vi må nå op på toppen, men jeg er ikke sikker på, de indfødte vil lade os passere uden kamp. Måske kan vi finde en anden vej rundt?","Das muss der Berg sein, von dem Häuptling Mozumba gesprochen hat. Wir müssen den Gipfel erreichen, aber ich bin mir nicht so sicher, dass diese Eingeborenen uns so einfach ohne Kampf dorthin lassen. Vielleicht sollten wir einen anderen Weg suchen.","Esta tiene que ser la montaña que mencionó el Jefe Mezumban. Debemos alcanzar la cima, pero no sé si esos indígenas nos dejarán pasar sin luchar. Quizás podamos encontrar otra ruta dando un rodeo.","Questa dev''essere la montagna di cui parlava Mozumba. Dobbiamo raggiungere la cima, ma non sono sicuro che i nativi ci lasceranno passare senza combattere. Forse dobbiamo trovare un''altra strada ?","Essa tem que ser a montanha que o Chefe Mozumba mencionou. Precisamos alcançar o topo dela, mas não estou certo de que os indígenas vão nos deixar passar sem uma luta. Talvez possamos encontrar outro caminho?"
player/campaign/VikingIsland10,header1,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
player/campaign/VikingIsland10,dialog1,"Finally, we made it to the top! Now where is this thunder god... all I see is a small ugly statue!","Endelig, vi nåede toppen! Nå, hvor er den tordengud... jeg kan ikke se andet end en grim statue!","Endlich, wir haben den Gipfel erreicht! So, und wo ist nun dieser Donnergott ... ich sehe nur eine kleine, hutzelige Figur!","¡Al fin, llegamos a la cima! Y ahora, ¿Dónde está el dios del trueno ese?... ¡lo único que veo es una fea y pequeña estatua!","Finalmente, siamo giunti alla cima! Allora, dov''è questo dio del tuono... tutto quello che vedo è un''enorme e orrenda statua!","Finalmente, chegamos ao topo! Agora onde está esse deus do trovão... tudo que eu vejo é uma pequena estátua feia!"
player/campaign/VikingIsland10,header2,Xarrr The Thunderer,Xarrr,Xarrr der Donnergott,Xarrr,Xarrr Il Crepitante,Xarrr O Trovejante
player/campaign/VikingIsland10,dialog2,"WHAT BRINGS YOU TO MY ABODE, MORTAL?","HVAD BRINGER DIG TIL MIT RIGE, DØDELIGE?","WAS FÜHRT DICH ZU MIR, STERBLICHER?","¿QUÉ TE TRAE A MI HOGAR, MORTAL?","COSA VI PORTA AL MIO COSPETTO, MORTALI?","O QUE TRAZ VOCÊ À MINHA MORADA, MORTAL?"
player/campaign/VikingIsland10,header3,Chief Fjorleif,Høvding Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
